standard_code,title,scope_excerpt,standard_kind,canonical_product,product_aliases,product_confidence,review_status,review_notes
IS 10124 (Part 4): 1988,FABRICATED PVC FITTINGS FOR,"Requirements of manufacture, dimensions and marking for fabricated PVC caps for potable water supplies.",product_standard,pipe_fitting,bend; bends; coupler; couplers; fitting; fittings; pipe fitting; pipe fittings; reducer; reducers; saddle piece; saddle pieces; socket; sockets; tee; tees,high,needs_review,
IS 10124 (Part 5): 1988,FABRICATED PVC FITTINGS  FOR,"Requirements of manufacture, dimensions and marking for fabricated PVC tees for potable water supplies.",product_standard,pipe_fitting,bend; bends; coupler; couplers; fitting; fittings; pipe fitting; pipe fittings; reducer; reducers; saddle piece; saddle pieces; socket; sockets; tee; tees,high,needs_review,
IS 10124 (Part 6): 1988,FABRICATED  PVC FITTINGS FOR,"Requirements of manufacture, dimensions and marking for fabricated PVC flanged tail pieces with metallic flange for portable water supplies.",product_standard,pipe_fitting,bend; bends; coupler; couplers; fitting; fittings; pipe fitting; pipe fittings; reducer; reducers; saddle piece; saddle pieces; socket; sockets; tee; tees,high,needs_review,
IS 10124 (Part 7): 1988,FABRICATED  PVC FITTINGS,"Requirements of manufacture, dimensions and marking for fabricated PVC threaded adaptors for potable water supplies.",product_standard,pipe_fitting,bend; bends; coupler; couplers; fitting; fittings; pipe fitting; pipe fittings; reducer; reducers; saddle piece; saddle pieces; socket; sockets; tee; tees,high,needs_review,
IS 10124 (Part 8): 1988,FABRICATED PVC FITTING,"Requirements of manufacture, dimensions and marking for fabricated PVC 90 o bends for potable water supplies.",product_standard,pipe_fitting,bend; bends; coupler; couplers; fitting; fittings; pipe fitting; pipe fittings; reducer; reducers; saddle piece; saddle pieces; socket; sockets; tee; tees,high,needs_review,
IS 10124 (Part 9): 1988,FABRICATED PVC FITTING,"Requirements of manufacture, dimensions and marking for fabricated PVC 60 o bends for potable water supplies.",product_standard,pipe_fitting,bend; bends; coupler; couplers; fitting; fittings; pipe fitting; pipe fittings; reducer; reducers; saddle piece; saddle pieces; socket; sockets; tee; tees,high,needs_review,
IS 1019: 1974,RIM LATCHES,"Requirements regarding material, dimensions, manufacture and finish of rim latches for general use.",material_standard,latch,latch; latches; rim latch; rim latches,high,needs_review,
IS 10238: 2001,FASTENERS – THREADED STEEL,1.1 Covers the requirements for step bolt used in steel structures including transmission towers to gain access to the top. 1.2 Each bolt shall be supplied with two hexagon nuts.,material_standard,bolt,bolt; bolts; hexagon head bolt; structural bolt,high,needs_review,
IS 10292: 1988,DIMENSIONAL REQUIREMENTS FOR RUBBER,Specifies the dimensional requirements for rubber sealing rings to be used with cast iron detachable joints conforming to IS 8794 : 1988* for joining the asbestos cement pressure pipes conforming to IS 1592 : 1989+. T...,material_standard,cement,cement; lime pozzolana mixture; lime-pozzolana concrete; masonry cement; ordinary portland cement; portland cement; pozzolana cement; slag cement; white cement,high,needs_review,
IS 10299: 1982,CAST IRON SADDLE PIECES FOR SERVICE,Requirements for cast iron saddle piece for service connection from asbestos cement pressure pipes conforming to IS 1592 : 1989*,material_standard,pipe,casing pipe; grp pipe; hdpe pipe; pipe; pipes; pvc pipe; steel tube; tube; tubes; water well tube,low,needs_review,
IS 10342: 1982,CURTAIN  RAIL SYSTEM,"Requirements regarding materials, manufacture, dimensions, testing and finish of rails, runners and hooks used in the curtain rail system. Note — This standard, however does not cover the requirements for drop curtain...",material_standard,dimensions_testing_finish_rails,,medium,needs_review,
IS 10360: 1982,LIME-POZZOLANA CONCRETE,"Covers dimensions, quality and strength requirements of lime-pozzolana concrete blocks for use in paving.",product_standard,cement,cement; lime pozzolana mixture; lime-pozzolana concrete; masonry cement; ordinary portland cement; portland cement; pozzolana cement; slag cement; white cement,low,needs_review,
IS 10388: 1982,"CORRUGATED COIR, WOODWOOL,","Requirements regarding materials, dimensions and physical properties for corrugated roofing sheets made from coir, woodwool and cement. Note — Optimum utilization of national resources demand that use of indigeneous b...",test_method,,,high,needs_review,
IS 1038: 1983,"STEEL DOOR, WINDOWS AND VENTILATORS","Requirements regarding material, fabrication and finish of steel doors, windows, ventilators and fixed-lights manufactured from rolled steel sections to specified sizes and designs. This standard does not cover steel...",material_standard,window,ventilator; ventilators; window; windows,high,needs_review,
IS 10394: 1982,WOODEN SLEEPERS FOR  RAILWAY TRACK,"Covers the requirements of wooden sleepers and wooden specials used for broad gauge ,metre and narrow gauge railway tracks.",product_standard,timber,sawn timber; timber; timbers; wooden sleeper; wooden sleepers,high,needs_review,
IS 10451: 1983,STEEL SLIDING SHUTTERS,"Requirements regarding materials, type, shape, fabrication, assembly and finish of the top hung steel sliding shutters.",material_standard,door,door; door frame; door frames; doors; shutter; shutters,high,needs_review,
IS 10521: 1983,COLLAPSIBLE GATES,"Requirements regarding materials, fabrication and finish of different types of collapsible gates.",material_standard,gate,collapsible gate; gate; gates,high,needs_review,
IS 10701: 1983,STRUCTURAL PLYWOOD,"Requirements of plywood for structural purposes, such as stressed skin panels, plywood web beams, sheathing, silos, rail and ship containers.",product_standard,board,bamboo mat board; board; boards; coir board; fiber board; fibre board; fibre boards; particle board; plywood; veneered decorative plywood,high,needs_review,
IS 10772: 1983,QUICK SETTING LIME POZZOLANA MIXTURE,"Covers the requirements for lime pozzolana mixtures which tend to set fast, for use in construction works except reinforced concrete.",test_method,,,high,needs_review,
IS 1077: 1992,COMMON BURNT CLAY BUILDING BRICKS,"Requirements for classification, general quality, dimensions and physical requirements of common burnt clay building bricks used in buildings with compressive strength less than 40 N/mm2 Note— For burnt clay bricks ha...",product_standard,brick,brick; bricks; building brick; building bricks; fly ash brick,high,needs_review,
IS 1079: 1994,HOT ROLLED CARBON STEEL SHEETS AND STRIPS,"Requirements of Hot rolled carbon steel sheets including pack rolled sheets and strips intended for cold forming, drawing and general engineering purposes.",material_standard,steel_sheet,carbon steel sheet; carbon steel sheets; steel sheet; steel sheets,high,needs_review,
IS 10889: 1984,HIGH DENSITY POLYTHYLENE FILM,Requirements and the methods of sampling and test for natural and black colour (carbon black pigment) high density polyethylene films. Coloured films other than black shall be as a greed to between the purchaser and t...,product_standard,polyethylene_films_coloured_films,,medium,needs_review,
IS 110: 1983,"READY MIXED PAINT, BRUSHING, GREY FILLER,","Requirements, and the methods of sampling and test for ready mixed paint, brushing, grey filler, for enamels, for use over primers. The material is used as a filler over the primer in the painting system normally foll...",material_standard,paint,filler; paint; paints,high,needs_review,
IS 11128: 1984,SPRAY – APPLIED HYDRATED CALCIUM SILICATE,"Requirements and methods of sampling and test for spray-applied, hydrated calcium silicate thermal insulation.",product_standard,thermal_insulation,calcium silicate insulation; expanded polystyrene; fibrous pipe insulation; insulation; mineral wool; rock wool; slag wool; thermal insulating; thermal insulation,high,needs_review,
IS 1120: 1975,COACH SCREW,Requirements of hexagon head coach screws (hexagon head wood screws).,product_standard,screw,countersunk screw; hexagon head screw; screw; screws,high,needs_review,
IS 11246: 1992,GLASS FIBRE REINFORCED POLYESTER,"Requirements for material, construction, workmanship, finish, performance and testing for glass fibre reinforced polyester resin (GRP) pourflush type squatting pans conact moulded as well as compression moulded.",material_standard,glass,glass; glass fiber; glass fibre; glass fibre reinforced,high,needs_review,
IS 1127: 1970,DIMENSIONS AND WORKMANSHIP OF NATURAL,Recommendations for the dimensions and workmanship of natural building stones used for various types of stone masonry.,other,stone,building stone; polished stone; stone; stones,high,needs_review,
IS 1128: 1974,LIMESTONE (SLAB AND  TILES),Requirements for dimensions and physical properties of limestone slabs and tiles for use in flooring and face work.,product_standard,tile,clay roofing country tile; flooring tile; hollow clay tile; lining tile; ridge tile; roofing tile; terracing tile; tile; tiles,high,needs_review,
IS 11307: 1985,CELLULAR GLASS BLOCK AND PIPE THERMAL,Requirements and methods of sampling and test for cellular glass block and pipe thermal insulation intended for use on surfaces operating at temperatures between – 2000C and 4250C.,product_standard,thermal_insulation,calcium silicate insulation; expanded polystyrene; fibrous pipe insulation; insulation; mineral wool; rock wool; slag wool; thermal insulating; thermal insulation,high,needs_review,
IS 11308: 1985,HYDRAULIC SETTING THERMAL INSULATING,"Requirements and methods of sampling and test for hydraulic setting thermal insulating castables for use as either hot face or cold face backing of refractory linings, at temperatures up to 12500C.",product_standard,thermal_insulation,calcium silicate insulation; expanded polystyrene; fibrous pipe insulation; insulation; mineral wool; rock wool; slag wool; thermal insulating; thermal insulation,high,needs_review,
IS 1130: 1969,"MARBLE  (BLOCKS, SLABS AND TILES)","Requirements for sizes, physical properties, quality and workmanship of marble (block, slabs and tiles)",product_standard,block,block; blocks; concrete block; masonry block; masonry blocks,low,needs_review,
IS 11433 (Part 1): 1985,ONE-PART GUN-GRADE POLYSULPHIDE-,General requirements of one-part gun- grade polysulphide-based sealants used in some sealing or glazing applications in buildings and structures.,product_standard,sealant,polysulphide; sealant; sealants; sealing compound,high,needs_review,
IS 1148: 1982,HOT  ROLLED  STEEL RIVETS  BARS,Requirement for hot-rolled steel rivet bars in size up to 40 mm diameter used for the manufacture of hot forged rivets for structural purposes.,material_standard,rivet,rivet; rivet bar; rivet bars; rivets,high,needs_review,
IS 1149: 1982,HIGH  TENSILE STEEL RIVETS BARS,Requirement for high tensile steel rivet bars in size up to 40 mm diameter for structural purposes.,material_standard,rivet,rivet; rivet bar; rivet bars; rivets,high,needs_review,
IS 11587: 1986,STRUCTURAL WEATHER RESISTANCE STEELS,"Requirements for high strength low alloy weather resistant structural steels in the form of plates, strips, sections and bars for welded, riveted or bolted construction requiring atmospheric corrosion resistance.",material_standard,valve,air relief valve; check valve; non return valve; non-return valve; pressure reducing valve; reflux valve; sluice valve; stop valve; valve; valves,low,needs_review,
IS 1161: 1998,STEEL  TUBES FOR STRUCTURAL PURPOSES.,"Requirements for hot finished welded (HFW), hot finished seamless (HFS), and electric resistance welded (ERW) or high frequency induction welded (HRIW) plain carbon steel tubes for structural purposes.",material_standard,pipe,casing pipe; grp pipe; hdpe pipe; pipe; pipes; pvc pipe; steel tube; tube; tubes; water well tube,high,needs_review,
IS 1173: 1978,HOT ROLLED AND SLIT STEEL TEE BARS,"Lays down nominal dimensions, weight and basic geometrical properties.",material_standard,pipe_fitting,bend; bends; coupler; couplers; fitting; fittings; pipe fitting; pipe fittings; reducer; reducers; saddle piece; saddle pieces; socket; sockets; tee; tees,low,needs_review,
IS 11925: 1986,PITCH IMPREGNATED FIBRE PIPES AND FITTINGS,"Covers materials, dimension and methods of testing of pitch impregnated fibre pipes and fittings in diametrs ranging from 50 to 200 mm for drainage purposes below and above ground level. 1.2 The standard also covers p...",test_method,,,high,needs_review,
IS 1195: 2002,BITUMEN MASTIC FOR FLOORING,"Specifies requirements for four grades of bitumen mastic for building, composed of ground limestone, coarse aggregate and pigment, if required, incorporated with asphaltic cements. This standard does not cover special...",material_standard,aggregate,aggregate; aggregates,high,needs_review,
IS 12027: 1987,SILICONE-BASED WATER REPELLENTS,"Requirements for silicone - based water repellents. These water repellents can be applied to masonry generally free from cracks exceeding 0.10 mm in width, to confer water repellency without appreciable change of colo...",product_standard,cement,cement; lime pozzolana mixture; lime-pozzolana concrete; masonry cement; ordinary portland cement; portland cement; pozzolana cement; slag cement; white cement,low,needs_review,
IS 12049: 1987,DIMENSIONS AND TOLERANCES RELATING,"Covers the dimensions, such as length, measurement for wood based panel materials. The wood based panels considered are plywood, blockboard, hardboard, fibre insulation board, particle board, veneered particle board,...",material_standard,board,bamboo mat board; board; boards; coir board; fiber board; fibre board; fibre boards; particle board; plywood; veneered decorative plywood,high,needs_review,
IS 12118 (Part 1): 1987,TWO-PARTS POLYSULPHIDE BASED,"General requirements of two grades of two-part polysulphide based sealants for use in general building applications, namely, pouring grade and gun grade. Pouring grade sealants are intended for use in horizental joint...",product_standard,sealant,polysulphide; sealant; sealants; sealing compound,high,needs_review,
IS 12234: 1988,PLASTIC  EQUILIBRIUM  FLOAT  VALVES FOR,"Requirements regarding size, materials manufacture and workmanship, performance test and appropriate dimensions of equilibrium float valves for water service up to 45ºC such as coolers, flush tanks and over head tanks.",test_method,,,high,needs_review,
IS 12269: 1987,53 GRADE ORDINARY PORTLAND CEMENT,"Manufacture, chemical and physical requirments of 53 Grade ordinary Portland cement. Note—For certain specialized works, such as prestressed concrete and certain items of precast concrete, the concrete industry quite...",material_standard,cement,cement; lime pozzolana mixture; lime-pozzolana concrete; masonry cement; ordinary portland cement; portland cement; pozzolana cement; slag cement; white cement,high,needs_review,
IS 1230: 1979,CAST IRON RAINWATER PIPES AND FITTINGS,"1.1 Requirements for cast iron rainwater pipes, half- round gutters, their fittings and accessories. 1.2 The requirements of O.G. gutters and fittings are covered in Appendix A of the standard.",product_standard,pipe_fitting,bend; bends; coupler; couplers; fitting; fittings; pipe fitting; pipe fittings; reducer; reducers; saddle piece; saddle pieces; socket; sockets; tee; tees,low,needs_review,
IS 12313: 1988,HOT–DIP TERNE COATED CARBON STEEL,"Requirements of terne coated carbon steel sheets for use in automobile industry, as a roofing and other similar application the thickness of the sheet shall be between 0.3 to 2.0 mm. The thickness other than this may...",material_standard,steel_sheet,carbon steel sheet; carbon steel sheets; steel sheet; steel sheets,high,needs_review,
IS 12330: 1988,SULPHATE RESISTING PORTLAND CEMENT,"The manufacture, chemical and physical requirements and testing of sulphate resisting Portland cement. Note — Sulphate resisting Portland cement is a type of Portland cement in which the amount of tricalcium aluminate...",material_standard,cement,cement; lime pozzolana mixture; lime-pozzolana concrete; masonry cement; ordinary portland cement; portland cement; pozzolana cement; slag cement; white cement,high,needs_review,
IS 1237: 1980,CEMENT CONCRETE FLOORING TILES,"Requirements for cement concrete flooring tiles of plain cement, plain coloured and terrazo types. Chequered tiles are not covered.",material_standard,cement,cement; lime pozzolana mixture; lime-pozzolana concrete; masonry cement; ordinary portland cement; portland cement; pozzolana cement; slag cement; white cement,low,needs_review,
IS 1239 (Part 1): 2004,"STEEL TUBES, TUBULARS ANDOTHER","Requirement for welded and seamless plain end or screwed and socketed steel tubes intended for the use in water, gas airlines and steam. Medium and heavy tubes only are recommended for carrying steam services. The max...",material_standard,pipe,casing pipe; grp pipe; hdpe pipe; pipe; pipes; pvc pipe; steel tube; tube; tubes; water well tube,high,needs_review,
IS 12406: 2003,MEDIUM DENSITY FIBRE BOARDS FOR,"Requirements of medium density fibre boards for general purposes having density in the range of 600 – 900 kg/m3. This standard does not cover veneered or laminated or other specially treated boards, moulded boards, etc.",product_standard,board,bamboo mat board; board; boards; coir board; fiber board; fibre board; fibre boards; particle board; plywood; veneered decorative plywood,high,needs_review,
IS 12427: 2001,FASTENERS – THREADED STEEL,"Covers the requirements for hot-dip galvanized hexagon head transmission tower bolts in the size range M12 to 24 for use in the construction of transmission towers, sub-stations and similar steel structures 1.1 The bo...",material_standard,bolt,bolt; bolts; hexagon head bolt; structural bolt,high,needs_review,
IS 12436: 1988,PREFORMED RIGID POLYURETHANE (PUR) AND,"Requirements, and the methods of sampling and test for preformed rigid polyurethane (PUR) and polyisocyanurate (PIR) foam for thermal insulation in the form of boards, cut and moulded slabs, cut and moulded pipe secti...",product_standard,thermal_insulation,calcium silicate insulation; expanded polystyrene; fibrous pipe insulation; insulation; mineral wool; rock wool; slag wool; thermal insulating; thermal insulation,high,needs_review,
IS 12440: 1988,PRECAST CONCRETE STONE MASONRY BLOCKS,"Requirements of precast concrete stone masonry blocks, used in the construction of load bearing and non-load bearing walls.",material_standard,block,block; blocks; concrete block; masonry block; masonry blocks,high,needs_review,
IS 1254: 1991,CORRUGATED ALUMINIUM SHEET,"Material, profile, dimensions and finish for corrugated aluminium sheets meant for following uses: a) General purpose, b) Industrial, and c) Building.",material_standard,roofing_sheet,corrugated sheet; corrugated sheets; roofing sheet; roofing sheets,low,needs_review,
IS 12583: 1988,CORRUGATED BITMEN ROOFING SHEETS,Requirements of corrugated bitumen roofing sheets used as light roofing material.,material_standard,roofing_sheet,corrugated sheet; corrugated sheets; roofing sheet; roofing sheets,high,needs_review,
IS 12592: 2002,PRECAST CONCRETE MANHOLE,Requirements for precast steel reinforced cement concrete manhole covers and frames intended for use in sewerage and water drainage.,material_standard,cement,cement; lime pozzolana mixture; lime-pozzolana concrete; masonry cement; ordinary portland cement; portland cement; pozzolana cement; slag cement; white cement,high,needs_review,
IS 12701: 1996,ROTATIONAL MOULDED POLYETHYLENE,"1.1 Requirements of materials, dimensions, construction, shape workmanship, performance requirements and inspection and testing of rotatiional moulded polyethylene water storage tanks with a nominal service temperatur...",material_standard,water_tank,tank; water tank; water tanks,high,needs_review,
IS 12709: 1994,GLASS FIBRE REINFORCED PLASTICS (GRP),"Requirements for materials, dimensions, classification, testing and type of joints of machine-made pipes with glass fibre reinforced thermosetting resin with or without aggregate filler having nominal diameter from 20...",material_standard,glass,glass; glass fiber; glass fibre; glass fibre reinforced,high,needs_review,
IS 12778: 2004,HOT ROLLED PARALLEL FLANGE STEEL SECTION,"Covers the nominal dimensions, mass and sectional properties of hot rolled parallel flange beams, columns and bearing piles. 2 Classification 2.1 Beams, column and pile sections are classified as follows. a) Indian St...",material_standard,steel_section,flange steel section; steel section; steel sections; tee bar; tee bars,high,needs_review,
IS 1278: 1972,FILLER RODS FOR GAS WELDING,"Requirements of ferrous and non-ferrous filler rods for gas welding made of the following materials supplied in cut lengths. a) Structural steels, b) Austenitic stainless steels, c) Cast irons (excluding spheroidal gr...",material_standard,rod,filler rod; filler rods; rod; rods,high,needs_review,
IS 12817: 1997,STAINLESS STEEL BUTT HINGES,"Types and requirements regarding materials, dimensions, manufacture and finish of stainless steel butt hinges.",material_standard,hinge,butt hinge; butt hinges; hinge; hinges,high,needs_review,
IS 12818: 1992,UNPLASTICISED   PVC SCREEN AND CASING,"Requirements of ribbed screen, plain screen and plain casing pipes of nominal diameter 40 to 400 mm produced from unplasticized polyvinyl chloride for bore/tubewell for water supply.",product_standard,pipe,casing pipe; grp pipe; hdpe pipe; pipe; pipes; pvc pipe; steel tube; tube; tubes; water well tube,high,needs_review,
IS 12820: 2004,DIMENSIONAL REQUIREMENTS OF RUBBER,"Specifies the dimensional requirements for rubber gaskets to be used in cast iron pipes/fittings for the mechnical joints and push-on flexible joints for carrying water, gas and sewage.",product_standard,pipe,casing pipe; grp pipe; hdpe pipe; pipe; pipes; pvc pipe; steel tube; tube; tubes; water well tube,low,needs_review,
IS 12823: 1990,WOOD PRODUCTS-PRELAMINATED,Requirement of prelaminated particle boards for general purpose and also for special applications.,other,board,bamboo mat board; board; boards; coir board; fiber board; fibre board; fibre boards; particle board; plywood; veneered decorative plywood,high,needs_review,
IS 12830: 1989,RUBBER BASED ADHESIVE FOR FIXING PVC,Requirements and the methods of sampling and test for rubber based adhesives used for bonding,installation,,,high,needs_review,
IS 1285: 2002,WROUGHT ALUMINIUM AND ALUMINIUM ALLOY,Requirements of extruded round tube and hollow sections made from wrought aluminium and aluminium alloys for general engineering purposes.,product_standard,pipe,casing pipe; grp pipe; hdpe pipe; pipe; pipes; pvc pipe; steel tube; tube; tubes; water well tube,high,needs_review,
IS 12866: 1989,PLASTIC TRANSLUCENT SHEET MADE,"Specifies dimensions, tolerances, strength and light transmission of glass fibre reinforced translucent plastic sheeting of the profiles specified in IS 277 : 1992*, IS 459:1992** and IS 1254:1991+ for use in roofs.”...",other,glass,glass; glass fiber; glass fibre; glass fibre reinforced,high,needs_review,
IS 12867: 1989,PVC HAND RAIL COVERS,Covers the dimensions and requirements for PVC handrail covers for use on metal strip handrails.,product_standard,handrail,hand rail; hand rail cover; handrail,high,needs_review,
IS 12894: 2002,PULVERIZED FUEL ASH-LIME BRICKS,"Requirements for classification, general quality, dimensions and physical requirements of fly ash-lime bricks used in buildings. Note— Pulverized fuel ash lime bricks having wet compressive strength less than 30 N/mm2...",product_standard,brick,brick; bricks; building brick; building bricks; fly ash brick,high,needs_review,
IS 12896: 1990,INDIAN TIMBERS FOR DOOR AND,"Covers the general classification of Indian timber species suitable for door and window shutters and frames. It also lays down the general requirements of quality, seasoning, moisture content and preservative treatmes...",material_standard,door,door; door frame; door frames; doors; shutter; shutters,high,needs_review,
IS 1293: 1988,PLUGS AND SOCKET-OUTLETS – RATED,Requirements and tests for three-pin two- pole and earthing plugs and socket-outlets (shuttered and non-shuttered) including multi-socket-outlet (shuttered and non-shuttered) suitable for ac circuits with a rated volt...,product_standard,plug_socket,plug; plugs; socket; socket-outlet,high,needs_review,
IS 12987: 1991,CAST IRON DETACHABLE JOINTS FOR USE WITH,Covers the requirements for cast iron detachable joints to be used with asbestos cement pressure pipes (light duty) conforming to IS 9627:1980.*,material_standard,pipe,casing pipe; grp pipe; hdpe pipe; pipe; pipes; pvc pipe; steel tube; tube; tubes; water well tube,low,needs_review,
IS 12988: 1991,DIMENSIONAL REQUIREMENTS FOR RUBBER,Specifies the dimensional requirement for rubber sealing rings to be used with cast iron detachable joints conforming to IS : 12987 : 1991* for joining light duty asbestos cement pressure pipes conforming to IS : 9627...,material_standard,pipe,casing pipe; grp pipe; hdpe pipe; pipe; pipes; pvc pipe; steel tube; tube; tubes; water well tube,high,needs_review,
IS 12994: 1990,"EPOXY ADHESIVES, ROOM TEMPERATURE","Requirements and methods of sampling and test for liquid and paste type epoxy adhesives for performance : (a) up to 50ºC, and (b) up to 100ºC.",product_standard,adhesive,adhesive; adhesives,high,needs_review,
IS 13000: 1990,SILICA ASBESTOS  - CEMENT,"Requirement for materials, classification, dimensions and tests for silica-asbestos-cement flat sheets.",test_method,,,high,needs_review,
IS 13008: 1990,SHALLOW CORRUGATED ASBESTOS,"Covers the requirements for materials, dimensions and tests for shallow corrugated asbestos cement sheets.",material_standard,cement,cement; lime pozzolana mixture; lime-pozzolana concrete; masonry cement; ordinary portland cement; portland cement; pozzolana cement; slag cement; white cement,high,needs_review,
IS 13026: 1991,BITUMEN MASTIC FOR FLOORING FOR,"1.1 Requirements of bitumen mastic flooring for industries handling LPG and other light hydrocarbon products. 1.2 This standard is also applicable for explosive and crackers manufacturing factories, ordinance factorie...",material_standard,aggregate,aggregate; aggregates,low,needs_review,
IS 13049: 1991,DIAPHRAGM TYPE (PLASTIC BODY) FLOAT,"Specifies materials, workmanship, performance and sampling requirements besides where appropriate, dimensions and tolerances, of diaphragm type float operated valves for water services up to 45oC for use in flush tank...",test_method,,,high,needs_review,
IS 13114: 1991,"FORGED  BRASS GATE, GLOBE AND CHECK","Requirements for forged brass gate, globe and check valves suitable for working temperatures up to 45ºC and non-shock maximum hydraulic working pressure of 2 MPa for water works purposes.",product_standard,valve,air relief valve; check valve; non return valve; non-return valve; pressure reducing valve; reflux valve; sluice valve; stop valve; valve; valves,high,needs_review,
IS 13204: 1991,RIGID PHENOLIC FOAM FOR THERMAL,"Requirements and methods of sampling and test for rigid for phenolic foam for thermal insulation purposes. It applies to slab (blocks, boards and profiled sheets) and profiled sections (pipe sections and radiused or b...",material_standard,thermal_insulation,calcium silicate insulation; expanded polystyrene; fibrous pipe insulation; insulation; mineral wool; rock wool; slag wool; thermal insulating; thermal insulation,high,needs_review,
IS 1322: 1993,BITUMEN FELTS FOR WATER–PROOFING,Requirements for saturated bitumen felts (underlay) and self-finished bitumen felts used for water proofing and damp-proofing.,product_standard,waterproofing_membrane,bitumen felt; bitumen felts; water-proofing; waterproofing,high,needs_review,
IS 1326: 1992,NON-CONIFEROUS  SAWN TIMBER,Covers the requirements of non- coniferous sawn timber in the form of baulks and scantling.,material_standard,timber,sawn timber; timber; timbers; wooden sleeper; wooden sleepers,high,needs_review,
IS 1328: 1996,VENEERED DECORATIVE PLYWOOD,"Covers types of plywood with ornamental veneers on one or both faces used for decorative purposes, such as furniture making, panelling of all kinds, including panelling for railway coaches, buses and ships.",product_standard,board,bamboo mat board; board; boards; coir board; fiber board; fibre board; fibre boards; particle board; plywood; veneered decorative plywood,high,needs_review,
IS 13317: 1992,"CLAY ROOFING COUNTRY TILES,",,other,tile,clay roofing country tile; flooring tile; hollow clay tile; lining tile; ridge tile; roofing tile; terracing tile; tile; tiles,high,needs_review,
IS 13349: 1992,SINGLE FACED CAST IRON THIMBLE,"Covers single faced vertically sliding type cast iron sluice gates of nominal sizes from 300 to 2500 mm, suitable for mounting on the flange of cast iron wall thimble. These sluice gates are meant for use for water su...",material_standard,gate,collapsible gate; gate; gates,high,needs_review,
IS 13356: 1992,PRECAST FERROCEMENT WATER TANKS,Requirements of precast ferrocement water tanks of capacity 270 to 10 000 litres. Note —The capacity of tank means the net capacity which is the volume of the actual usable water confined between the levels of the cen...,material_standard,water_tank,tank; water tank; water tanks,high,needs_review,
