query_id,query,positive_standard,positive_title,specificity,style,hard_negative_codes,review_status,review_notes
rq_is_1464_1992_07,Specification needed for clay machine-pressed clay ridge and ceiling tiles in roof ridge or ceiling tile work,IS 1464: 1992,CLAY RIDGE AND CEILING TILES,specific,formal,IS 3951 (Part 2): 1975;IS 3951 (Part 1): 1975;IS 1478: 1992;IS 2690 (Part 1): 1993,pending,
rq_is_1464_1992_08,Purchase requirement for machine-pressed clay ridge and ceiling tiles covering roof ridge or ceiling tile work,IS 1464: 1992,CLAY RIDGE AND CEILING TILES,general_but_sufficient,procurement,IS 3951 (Part 2): 1975;IS 3951 (Part 1): 1975;IS 1478: 1992;IS 2690 (Part 1): 1993,pending,
rq_is_1464_1992_09,"Find the standard that covers machine-pressed clay ridge and ceiling tiles, ridge or ceiling tile use rather than ordinary roof tiles",IS 1464: 1992,CLAY RIDGE AND CEILING TILES,specific,technical_natural,IS 3951 (Part 2): 1975;IS 3951 (Part 1): 1975;IS 1478: 1992;IS 2690 (Part 1): 1993,pending,
rq_is_1464_1992_10,Need compliant machine-pressed clay ridge and ceiling tiles for roof ridge or ceiling tile work,IS 1464: 1992,CLAY RIDGE AND CEILING TILES,general_but_sufficient,general_natural,IS 3951 (Part 2): 1975;IS 3951 (Part 1): 1975;IS 1478: 1992;IS 2690 (Part 1): 1993,pending,
rq_is_1464_1992_11,Which IS should I use for machine-pressed clay ridge and ceiling tiles when the job is roof ridge or ceiling tile work?,IS 1464: 1992,CLAY RIDGE AND CEILING TILES,specific,conversational,IS 3951 (Part 2): 1975;IS 3951 (Part 1): 1975;IS 1478: 1992;IS 2690 (Part 1): 1993,pending,
rq_is_1464_1992_12,Standard selection for roof ridge or ceiling tile work: machine-pressed clay ridge and ceiling tiles with ridge or ceiling tile use rather than ordinary roof tiles,IS 1464: 1992,CLAY RIDGE AND CEILING TILES,specific,use_case,IS 3951 (Part 2): 1975;IS 3951 (Part 1): 1975;IS 1478: 1992;IS 2690 (Part 1): 1993,pending,
rq_is_1478_1992_01,Require clay flooring tiles for floor covering in buildings where the distinguishing feature is flooring use with clay tile quality and strength requirements,IS 1478: 1992,CLAY FLOORING TILES,specific,formal,IS 3951 (Part 2): 1975;IS 2690 (Part 2): 1992;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_1478_1992_02,Procure clay flooring tiles for floor covering in buildings; material or form should be clay,IS 1478: 1992,CLAY FLOORING TILES,specific,procurement,IS 3951 (Part 2): 1975;IS 2690 (Part 2): 1992;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_1478_1992_03,Need an Indian Standard for clay flooring tiles used in floor covering in buildings with flooring use with clay tile quality and strength requirements,IS 1478: 1992,CLAY FLOORING TILES,specific,technical_natural,IS 3951 (Part 2): 1975;IS 2690 (Part 2): 1992;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_1478_1992_04,Looking for clay flooring tiles suited to floor covering in buildings,IS 1478: 1992,CLAY FLOORING TILES,general_but_sufficient,general_natural,IS 3951 (Part 2): 1975;IS 2690 (Part 2): 1992;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_1478_1992_05,"We need clay flooring tiles for floor covering in buildings, especially flooring use with clay tile quality and strength requirements",IS 1478: 1992,CLAY FLOORING TILES,general_but_sufficient,conversational,IS 3951 (Part 2): 1975;IS 2690 (Part 2): 1992;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_1478_1992_06,Select the standard for a building floor finished with clay flooring tiles,IS 1478: 1992,CLAY FLOORING TILES,specific,use_case,IS 3951 (Part 2): 1975;IS 2690 (Part 2): 1992;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_1478_1992_07,Specification needed for clay clay flooring tiles in floor covering in buildings,IS 1478: 1992,CLAY FLOORING TILES,specific,formal,IS 3951 (Part 2): 1975;IS 2690 (Part 2): 1992;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_1478_1992_08,Purchase requirement for clay flooring tiles covering floor covering in buildings,IS 1478: 1992,CLAY FLOORING TILES,general_but_sufficient,procurement,IS 3951 (Part 2): 1975;IS 2690 (Part 2): 1992;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_1478_1992_09,"Find the standard that covers clay flooring tiles, flooring use with clay tile quality and strength requirements",IS 1478: 1992,CLAY FLOORING TILES,specific,technical_natural,IS 3951 (Part 2): 1975;IS 2690 (Part 2): 1992;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_1478_1992_10,Need compliant clay flooring tiles for floor covering in buildings,IS 1478: 1992,CLAY FLOORING TILES,general_but_sufficient,general_natural,IS 3951 (Part 2): 1975;IS 2690 (Part 2): 1992;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_1478_1992_11,Which IS should I use for clay flooring tiles when the job is floor covering in buildings?,IS 1478: 1992,CLAY FLOORING TILES,specific,conversational,IS 3951 (Part 2): 1975;IS 2690 (Part 2): 1992;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_1478_1992_12,Standard selection for floor covering in buildings: clay flooring tiles with flooring use with clay tile quality and strength requirements,IS 1478: 1992,CLAY FLOORING TILES,specific,use_case,IS 3951 (Part 2): 1975;IS 2690 (Part 2): 1992;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_2690_part_1_1993_01,Require machine-made burnt clay flat terracing tiles for terrace covering where the distinguishing feature is machine-made flat terracing tile construction,IS 2690 (Part 1): 1993,BURNT CLAY–FLAT TERRACING TILES,specific,formal,IS 2690 (Part 2): 1992;IS 3367: 1993;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_2690_part_1_1993_02,Procure machine-made burnt clay flat terracing tiles for terrace covering; material or form should be burnt clay,IS 2690 (Part 1): 1993,BURNT CLAY–FLAT TERRACING TILES,specific,procurement,IS 2690 (Part 2): 1992;IS 3367: 1993;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_2690_part_1_1993_03,Need an Indian Standard for machine-made burnt clay flat terracing tiles used in terrace covering with machine-made flat terracing tile construction,IS 2690 (Part 1): 1993,BURNT CLAY–FLAT TERRACING TILES,specific,technical_natural,IS 2690 (Part 2): 1992;IS 3367: 1993;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_2690_part_1_1993_04,Looking for machine-made burnt clay flat terracing tiles suited to terrace covering,IS 2690 (Part 1): 1993,BURNT CLAY–FLAT TERRACING TILES,general_but_sufficient,general_natural,IS 2690 (Part 2): 1992;IS 3367: 1993;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_2690_part_1_1993_05,"We need machine-made burnt clay flat terracing tiles for terrace covering, especially machine-made flat terracing tile construction",IS 2690 (Part 1): 1993,BURNT CLAY–FLAT TERRACING TILES,general_but_sufficient,conversational,IS 2690 (Part 2): 1992;IS 3367: 1993;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_2690_part_1_1993_06,Select the standard for a terrace finished with machine-made burnt clay flat tiles,IS 2690 (Part 1): 1993,BURNT CLAY–FLAT TERRACING TILES,specific,use_case,IS 2690 (Part 2): 1992;IS 3367: 1993;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_2690_part_1_1993_07,Specification needed for burnt clay machine-made burnt clay flat terracing tiles in terrace covering,IS 2690 (Part 1): 1993,BURNT CLAY–FLAT TERRACING TILES,specific,formal,IS 2690 (Part 2): 1992;IS 3367: 1993;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_2690_part_1_1993_08,Purchase requirement for machine-made burnt clay flat terracing tiles covering terrace covering,IS 2690 (Part 1): 1993,BURNT CLAY–FLAT TERRACING TILES,general_but_sufficient,procurement,IS 2690 (Part 2): 1992;IS 3367: 1993;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_2690_part_1_1993_09,"Find the standard that covers machine-made burnt clay flat terracing tiles, machine-made flat terracing tile construction",IS 2690 (Part 1): 1993,BURNT CLAY–FLAT TERRACING TILES,specific,technical_natural,IS 2690 (Part 2): 1992;IS 3367: 1993;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_2690_part_1_1993_10,Need compliant machine-made burnt clay flat terracing tiles for terrace covering,IS 2690 (Part 1): 1993,BURNT CLAY–FLAT TERRACING TILES,general_but_sufficient,general_natural,IS 2690 (Part 2): 1992;IS 3367: 1993;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_2690_part_1_1993_11,Which IS should I use for machine-made burnt clay flat terracing tiles when the job is terrace covering?,IS 2690 (Part 1): 1993,BURNT CLAY–FLAT TERRACING TILES,specific,conversational,IS 2690 (Part 2): 1992;IS 3367: 1993;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_2690_part_1_1993_12,Standard selection for terrace covering: machine-made burnt clay flat terracing tiles with machine-made flat terracing tile construction,IS 2690 (Part 1): 1993,BURNT CLAY–FLAT TERRACING TILES,specific,use_case,IS 2690 (Part 2): 1992;IS 3367: 1993;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_2690_part_2_1992_01,Require hand-made burnt clay flat terracing tiles for terrace covering where the distinguishing feature is hand-made flat terracing tile construction,IS 2690 (Part 2): 1992,BURNT CLAY FLAT TERRACING TILES,specific,formal,IS 2690 (Part 1): 1993;IS 3367: 1993;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_2690_part_2_1992_02,Procure hand-made burnt clay flat terracing tiles for terrace covering; material or form should be burnt clay,IS 2690 (Part 2): 1992,BURNT CLAY FLAT TERRACING TILES,specific,procurement,IS 2690 (Part 1): 1993;IS 3367: 1993;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_2690_part_2_1992_03,Need an Indian Standard for hand-made burnt clay flat terracing tiles used in terrace covering with hand-made flat terracing tile construction,IS 2690 (Part 2): 1992,BURNT CLAY FLAT TERRACING TILES,specific,technical_natural,IS 2690 (Part 1): 1993;IS 3367: 1993;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_2690_part_2_1992_04,Looking for hand-made burnt clay flat terracing tiles suited to terrace covering,IS 2690 (Part 2): 1992,BURNT CLAY FLAT TERRACING TILES,general_but_sufficient,general_natural,IS 2690 (Part 1): 1993;IS 3367: 1993;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_2690_part_2_1992_05,"We need hand-made burnt clay flat terracing tiles for terrace covering, especially hand-made flat terracing tile construction",IS 2690 (Part 2): 1992,BURNT CLAY FLAT TERRACING TILES,general_but_sufficient,conversational,IS 2690 (Part 1): 1993;IS 3367: 1993;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_2690_part_2_1992_06,Select the standard for a terrace finished with hand-made burnt clay flat tiles,IS 2690 (Part 2): 1992,BURNT CLAY FLAT TERRACING TILES,specific,use_case,IS 2690 (Part 1): 1993;IS 3367: 1993;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_2690_part_2_1992_07,Specification needed for burnt clay hand-made burnt clay flat terracing tiles in terrace covering,IS 2690 (Part 2): 1992,BURNT CLAY FLAT TERRACING TILES,specific,formal,IS 2690 (Part 1): 1993;IS 3367: 1993;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_2690_part_2_1992_08,Purchase requirement for hand-made burnt clay flat terracing tiles covering terrace covering,IS 2690 (Part 2): 1992,BURNT CLAY FLAT TERRACING TILES,general_but_sufficient,procurement,IS 2690 (Part 1): 1993;IS 3367: 1993;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_2690_part_2_1992_09,"Find the standard that covers hand-made burnt clay flat terracing tiles, hand-made flat terracing tile construction",IS 2690 (Part 2): 1992,BURNT CLAY FLAT TERRACING TILES,specific,technical_natural,IS 2690 (Part 1): 1993;IS 3367: 1993;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_2690_part_2_1992_10,Need compliant hand-made burnt clay flat terracing tiles for terrace covering,IS 2690 (Part 2): 1992,BURNT CLAY FLAT TERRACING TILES,general_but_sufficient,general_natural,IS 2690 (Part 1): 1993;IS 3367: 1993;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_2690_part_2_1992_11,Which IS should I use for hand-made burnt clay flat terracing tiles when the job is terrace covering?,IS 2690 (Part 2): 1992,BURNT CLAY FLAT TERRACING TILES,specific,conversational,IS 2690 (Part 1): 1993;IS 3367: 1993;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_2690_part_2_1992_12,Standard selection for terrace covering: hand-made burnt clay flat terracing tiles with hand-made flat terracing tile construction,IS 2690 (Part 2): 1992,BURNT CLAY FLAT TERRACING TILES,specific,use_case,IS 2690 (Part 1): 1993;IS 3367: 1993;IS 3951 (Part 1): 1975;IS 13317: 1992,pending,
rq_is_3367_1993_01,Require rectangular burnt clay lining tiles for irrigation canal and drainage channel lining where the distinguishing feature is lining use for canals or drainage channels other than sewage works,IS 3367: 1993,BURNT CLAY TILES FOR USE IN LINING,specific,formal,IS 2690 (Part 1): 1993;IS 2690 (Part 2): 1992;IS 654: 1992;IS 1478: 1992,pending,
rq_is_3367_1993_02,Procure rectangular burnt clay lining tiles for irrigation canal and drainage channel lining; material or form should be burnt clay,IS 3367: 1993,BURNT CLAY TILES FOR USE IN LINING,specific,procurement,IS 2690 (Part 1): 1993;IS 2690 (Part 2): 1992;IS 654: 1992;IS 1478: 1992,pending,
rq_is_3367_1993_03,Need an Indian Standard for rectangular burnt clay lining tiles used in irrigation canal and drainage channel lining with lining use for canals or drainage channels other than sewage works,IS 3367: 1993,BURNT CLAY TILES FOR USE IN LINING,specific,technical_natural,IS 2690 (Part 1): 1993;IS 2690 (Part 2): 1992;IS 654: 1992;IS 1478: 1992,pending,
rq_is_3367_1993_04,Looking for rectangular burnt clay lining tiles suited to irrigation canal and drainage channel lining,IS 3367: 1993,BURNT CLAY TILES FOR USE IN LINING,general_but_sufficient,general_natural,IS 2690 (Part 1): 1993;IS 2690 (Part 2): 1992;IS 654: 1992;IS 1478: 1992,pending,
rq_is_3367_1993_05,"We need rectangular burnt clay lining tiles for irrigation canal and drainage channel lining, especially lining use for canals or drainage channels other than sewage works",IS 3367: 1993,BURNT CLAY TILES FOR USE IN LINING,general_but_sufficient,conversational,IS 2690 (Part 1): 1993;IS 2690 (Part 2): 1992;IS 654: 1992;IS 1478: 1992,pending,
rq_is_3367_1993_06,Select the standard for lining an irrigation canal or drainage channel with burnt clay tiles,IS 3367: 1993,BURNT CLAY TILES FOR USE IN LINING,specific,use_case,IS 2690 (Part 1): 1993;IS 2690 (Part 2): 1992;IS 654: 1992;IS 1478: 1992,pending,
rq_is_3367_1993_07,Specification needed for burnt clay rectangular burnt clay lining tiles in irrigation canal and drainage channel lining,IS 3367: 1993,BURNT CLAY TILES FOR USE IN LINING,specific,formal,IS 2690 (Part 1): 1993;IS 2690 (Part 2): 1992;IS 654: 1992;IS 1478: 1992,pending,
rq_is_3367_1993_08,Purchase requirement for rectangular burnt clay lining tiles covering irrigation canal and drainage channel lining,IS 3367: 1993,BURNT CLAY TILES FOR USE IN LINING,general_but_sufficient,procurement,IS 2690 (Part 1): 1993;IS 2690 (Part 2): 1992;IS 654: 1992;IS 1478: 1992,pending,
rq_is_3367_1993_09,"Find the standard that covers rectangular burnt clay lining tiles, lining use for canals or drainage channels other than sewage works",IS 3367: 1993,BURNT CLAY TILES FOR USE IN LINING,specific,technical_natural,IS 2690 (Part 1): 1993;IS 2690 (Part 2): 1992;IS 654: 1992;IS 1478: 1992,pending,
rq_is_3367_1993_10,Need compliant rectangular burnt clay lining tiles for irrigation canal and drainage channel lining,IS 3367: 1993,BURNT CLAY TILES FOR USE IN LINING,general_but_sufficient,general_natural,IS 2690 (Part 1): 1993;IS 2690 (Part 2): 1992;IS 654: 1992;IS 1478: 1992,pending,
rq_is_3367_1993_11,Which IS should I use for rectangular burnt clay lining tiles when the job is irrigation canal and drainage channel lining?,IS 3367: 1993,BURNT CLAY TILES FOR USE IN LINING,specific,conversational,IS 2690 (Part 1): 1993;IS 2690 (Part 2): 1992;IS 654: 1992;IS 1478: 1992,pending,
rq_is_3367_1993_12,Standard selection for irrigation canal and drainage channel lining: rectangular burnt clay lining tiles with lining use for canals or drainage channels other than sewage works,IS 3367: 1993,BURNT CLAY TILES FOR USE IN LINING,specific,use_case,IS 2690 (Part 1): 1993;IS 2690 (Part 2): 1992;IS 654: 1992;IS 1478: 1992,pending,
rq_is_3951_part_1_1975_01,Require hollow clay filler tiles for floors and roofs where the distinguishing feature is filler tiles with perforations parallel to length,IS 3951 (Part 1): 1975,HOLLOW CLAY TILES FOR,specific,formal,IS 3951 (Part 2): 1975;IS 1478: 1992;IS 1464: 1992;IS 654: 1992,pending,
rq_is_3951_part_1_1975_02,Procure hollow clay filler tiles for floors and roofs; material or form should be clay,IS 3951 (Part 1): 1975,HOLLOW CLAY TILES FOR,specific,procurement,IS 3951 (Part 2): 1975;IS 1478: 1992;IS 1464: 1992;IS 654: 1992,pending,
rq_is_3951_part_1_1975_03,Need an Indian Standard for hollow clay filler tiles used in floors and roofs with filler tiles with perforations parallel to length,IS 3951 (Part 1): 1975,HOLLOW CLAY TILES FOR,specific,technical_natural,IS 3951 (Part 2): 1975;IS 1478: 1992;IS 1464: 1992;IS 654: 1992,pending,
rq_is_3951_part_1_1975_04,Looking for hollow clay filler tiles suited to floors and roofs,IS 3951 (Part 1): 1975,HOLLOW CLAY TILES FOR,general_but_sufficient,general_natural,IS 3951 (Part 2): 1975;IS 1478: 1992;IS 1464: 1992;IS 654: 1992,pending,
rq_is_3951_part_1_1975_05,"We need hollow clay filler tiles for floors and roofs, especially filler tiles with perforations parallel to length",IS 3951 (Part 1): 1975,HOLLOW CLAY TILES FOR,general_but_sufficient,conversational,IS 3951 (Part 2): 1975;IS 1478: 1992;IS 1464: 1992;IS 654: 1992,pending,
rq_is_3951_part_1_1975_06,Select the standard for floor or roof filler work using hollow clay tiles,IS 3951 (Part 1): 1975,HOLLOW CLAY TILES FOR,specific,use_case,IS 3951 (Part 2): 1975;IS 1478: 1992;IS 1464: 1992;IS 654: 1992,pending,
rq_is_3951_part_1_1975_07,Specification needed for clay hollow clay filler tiles in floors and roofs,IS 3951 (Part 1): 1975,HOLLOW CLAY TILES FOR,specific,formal,IS 3951 (Part 2): 1975;IS 1478: 1992;IS 1464: 1992;IS 654: 1992,pending,
rq_is_3951_part_1_1975_08,Purchase requirement for hollow clay filler tiles covering floors and roofs,IS 3951 (Part 1): 1975,HOLLOW CLAY TILES FOR,general_but_sufficient,procurement,IS 3951 (Part 2): 1975;IS 1478: 1992;IS 1464: 1992;IS 654: 1992,pending,
rq_is_3951_part_1_1975_09,"Find the standard that covers hollow clay filler tiles, filler tiles with perforations parallel to length",IS 3951 (Part 1): 1975,HOLLOW CLAY TILES FOR,specific,technical_natural,IS 3951 (Part 2): 1975;IS 1478: 1992;IS 1464: 1992;IS 654: 1992,pending,
rq_is_3951_part_1_1975_10,Need compliant hollow clay filler tiles for floors and roofs,IS 3951 (Part 1): 1975,HOLLOW CLAY TILES FOR,general_but_sufficient,general_natural,IS 3951 (Part 2): 1975;IS 1478: 1992;IS 1464: 1992;IS 654: 1992,pending,
rq_is_3951_part_1_1975_11,Which IS should I use for hollow clay filler tiles when the job is floors and roofs?,IS 3951 (Part 1): 1975,HOLLOW CLAY TILES FOR,specific,conversational,IS 3951 (Part 2): 1975;IS 1478: 1992;IS 1464: 1992;IS 654: 1992,pending,
rq_is_3951_part_1_1975_12,Standard selection for floors and roofs: hollow clay filler tiles with filler tiles with perforations parallel to length,IS 3951 (Part 1): 1975,HOLLOW CLAY TILES FOR,specific,use_case,IS 3951 (Part 2): 1975;IS 1478: 1992;IS 1464: 1992;IS 654: 1992,pending,
rq_is_3951_part_2_1975_01,Require structural hollow clay tiles for floor and roof structural tile work where the distinguishing feature is structural hollow clay tile requirements,IS 3951 (Part 2): 1975,HOLLOW CLAY TILES FOR,specific,formal,IS 3951 (Part 1): 1975;IS 1478: 1992;IS 1464: 1992;IS 654: 1992,pending,
rq_is_3951_part_2_1975_02,Procure structural hollow clay tiles for floor and roof structural tile work; material or form should be clay,IS 3951 (Part 2): 1975,HOLLOW CLAY TILES FOR,specific,procurement,IS 3951 (Part 1): 1975;IS 1478: 1992;IS 1464: 1992;IS 654: 1992,pending,
rq_is_3951_part_2_1975_03,Need an Indian Standard for structural hollow clay tiles used in floor and roof structural tile work with structural hollow clay tile requirements,IS 3951 (Part 2): 1975,HOLLOW CLAY TILES FOR,specific,technical_natural,IS 3951 (Part 1): 1975;IS 1478: 1992;IS 1464: 1992;IS 654: 1992,pending,
rq_is_3951_part_2_1975_04,Looking for structural hollow clay tiles suited to floor and roof structural tile work,IS 3951 (Part 2): 1975,HOLLOW CLAY TILES FOR,general_but_sufficient,general_natural,IS 3951 (Part 1): 1975;IS 1478: 1992;IS 1464: 1992;IS 654: 1992,pending,
rq_is_3951_part_2_1975_05,"We need structural hollow clay tiles for floor and roof structural tile work, especially structural hollow clay tile requirements",IS 3951 (Part 2): 1975,HOLLOW CLAY TILES FOR,general_but_sufficient,conversational,IS 3951 (Part 1): 1975;IS 1478: 1992;IS 1464: 1992;IS 654: 1992,pending,
rq_is_3951_part_2_1975_06,Select the standard for floor or roof construction using structural hollow clay tiles,IS 3951 (Part 2): 1975,HOLLOW CLAY TILES FOR,specific,use_case,IS 3951 (Part 1): 1975;IS 1478: 1992;IS 1464: 1992;IS 654: 1992,pending,
rq_is_3951_part_2_1975_07,Specification needed for clay structural hollow clay tiles in floor and roof structural tile work,IS 3951 (Part 2): 1975,HOLLOW CLAY TILES FOR,specific,formal,IS 3951 (Part 1): 1975;IS 1478: 1992;IS 1464: 1992;IS 654: 1992,pending,
