standard_code,eligibility,reason,standard_kind,canonical_product,primary_subject,product_subtype,function,material,application,metadata_confidence,product_confidence,review_required,review_reason,quality_flags
IS 10124 (Part 7): 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,pipe_fitting,FABRICATED PVC FITTINGS FOR POTABLE WATER SUPPLIES PART 7 SPECIFIC REQUIREMENT FOR THREADED ADAPTERS,,carry_potable_water,PVC,potable water supply,high,high,False,,
IS 10124 (Part 8): 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,pipe_fitting,bend,bend,carry_potable_water,PVC,potable water supply,high,high,False,,
IS 10124 (Part 9): 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,pipe_fitting,bend,bend,carry_potable_water,PVC,potable water supply,high,high,False,,
IS 1019: 1974,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,latch,RIM LATCHES,,,steel,door and window construction,high,high,False,,
IS 10238: 2001,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,bolt,FASTENERS – THREADED STEEL FASTENERS – STEP BOLT FOR STEEL STRUCTURES,,structural_fastening,steel,,high,high,False,,
IS 10292: 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,cement,DIMENSIONAL REQUIREMENTS FOR RUBBER SEALING RINGS FOR C I D. JOINTS IN ASBESTOS CEMENT PIPING,,,cast iron,,high,high,False,,
IS 10299: 1982,REVIEW_REQUIRED,low_confidence_metadata,material_standard,pipe,CAST IRON SADDLE PIECES FOR SERVICE CONNECTION FROM ASBESTOS CEMENT PRESSURE PIPES,,,cast iron,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 10342: 1982,REVIEW_REQUIRED,source_grounded_fallback_requires_review,material_standard,dimensions_testing_finish_rails,"CURTAIN RAIL SYSTEM For detailed information, refer to IS 10342 : 1982 Specification for curtain rail system. 1. Scope – Requirements regarding materials, manufacture, dimensions, testing and finish of rails",,,steel,,high,medium,True,source_grounded_fallback_requires_review,metadata_review_required
IS 10360: 1982,REVIEW_REQUIRED,low_confidence_metadata,product_standard,cement,LIME-POZZOLANA CONCRETE BLOCKS FOR PAVING,,,clay,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 10388: 1982,SEARCH_ONLY,non-product standard kept searchable but not used as procurement positive,test_method,,"CORRUGATED COIR, WOODWOOL, CEMENT ROOFING SHEETS Note — For methods of tests , refer to Appendices A to D of the standard",,roofing,timber,roofing,high,high,False,,
IS 1038: 1983,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,window,"STEEL DOOR, WINDOWS AND VENTILATORS",,,steel,door and window construction,high,high,False,,
IS 10394: 1982,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,timber,WOODEN SLEEPERS FOR RAILWAY TRACK,,,steel,railway track,high,high,False,,
IS 10451: 1983,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,door,STEEL SLIDING SHUTTERS,,,steel,,high,high,False,,
IS 10521: 1983,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,gate,"COLLAPSIBLE GATES 1. Scope – Requirements regarding materials, fabrication and finish of different types of collapsible gates",,,steel,,high,high,False,,
IS 10701: 1983,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,board,plywood,plywood,,timber,,high,high,False,,
IS 10772: 1983,SEARCH_ONLY,non-product standard kept searchable but not used as procurement positive,test_method,,"QUICK SETTING LIME POZZOLANA MIXTURE Note —For methods of tests, refer to various parts of IS 1514:1990 Methods of sampling and tests for quicklime and hydrated lime",,,HDPE,,high,high,False,,
IS 1077: 1992,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,brick,COMMON BURNT CLAY BUILDING BRICKS,,,clay,,high,high,False,,
IS 1079: 1994,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,steel_sheet,HOT ROLLED CARBON STEEL SHEETS AND STRIPS,,,steel,,high,high,False,,
IS 10889: 1984,REVIEW_REQUIRED,source_grounded_fallback_requires_review,product_standard,polyethylene_films_coloured_films,HIGH DENSITY POLYTHYLENE FILM 1. Scope – Requirements and the methods of sampling and test for natural and black colour (carbon black pigment) high density polyethylene films. Coloured films,,,HDPE,,high,medium,True,source_grounded_fallback_requires_review,metadata_review_required
IS 110: 1983,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,paint,"READY MIXED PAINT, BRUSHING, GREY FILLER, FOR ENAMELS FOR USE OVER PRIMERS",,,,,high,high,False,,
IS 11128: 1984,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,thermal_insulation,"SPRAY – APPLIED HYDRATED CALCIUM SILICATE THERMAL INSULATION 1. Scope – Requirements and methods of sampling and test for spray-applied, hydrated calcium silicate",,thermal_insulation,steel,thermal insulation,high,high,False,,
IS 1120: 1975,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,screw,COACH SCREW,,structural_fastening,steel,,high,high,False,,
IS 11246: 1992,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,glass,GLASS FIBRE REINFORCED POLYESTER RESIN (GRP) SQUATTING PANS,,,glass fibre reinforced plastic,,high,high,False,,
IS 1127: 1970,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,other,stone,DIMENSIONS AND WORKMANSHIP OF NATURAL BUILDING STONES FOR MASONRY WORK,,,,,high,high,False,,
IS 1128: 1974,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,tile,LIMESTONE (SLAB AND TILES),,flooring,,flooring,high,high,False,,
IS 11307: 1985,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,thermal_insulation,CELLULAR GLASS BLOCK AND PIPE THERMAL INSULATION 1. Scope – Requirements and methods of sampling and test for cellular glass block and pipe thermal,,thermal_insulation,,thermal insulation,high,high,False,,
IS 11308: 1985,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,thermal_insulation,HYDRAULIC SETTING THERMAL INSULATING CASTABLES FOR TEMPERATURE UPTO 1250ºC 1. Scope – Requirements and methods of sampling and test for hydraulic setting thermal insulating,,thermal_insulation,,thermal insulation,high,high,False,,
IS 1130: 1969,REVIEW_REQUIRED,low_confidence_metadata,product_standard,block,"MARBLE (BLOCKS, SLABS AND TILES)",,,,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 11433 (Part 1): 1985,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,sealant,ONE-PART GUN-GRADE POLYSULPHIDE- BASED JOINT SEALANTS PART 1 GENERAL REQUIREMENTS,,,steel,,high,high,False,,
IS 1148: 1982,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,rivet,HOT ROLLED STEEL RIVETS BARS,,structural_fastening,steel,,high,high,False,,
IS 1149: 1982,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,rivet,HIGH TENSILE STEEL RIVETS BARS FOR STRUCTURAL PURPOSES,,structural_fastening,steel,,high,high,False,,
IS 11587: 1986,REVIEW_REQUIRED,low_confidence_metadata,material_standard,valve,"STRUCTURAL WEATHER RESISTANCE STEELS 1. Scope – Requirements for high strength low alloy weather resistant structural steels in the form of plates, strips, sections and bars for welded, riveted or bolted",,,steel,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 1161: 1998,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,pipe,STEEL TUBES FOR STRUCTURAL PURPOSES,,,steel,,high,high,False,,
IS 1173: 1978,REVIEW_REQUIRED,low_confidence_metadata,material_standard,pipe_fitting,tee,tee,,steel,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 11925: 1986,SEARCH_ONLY,non-product standard kept searchable but not used as procurement positive,test_method,,PITCH IMPREGNATED FIBRE PIPES AND FITTINGS FOR DRAINGAGE PURPOSES,,,bitumen,sewerage,high,high,False,,
IS 1195: 2002,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,aggregate,BITUMEN MASTIC FOR FLOORING,,flooring,bitumen,flooring,high,high,False,,
IS 12027: 1987,REVIEW_REQUIRED,low_confidence_metadata,product_standard,cement,SILICONE-BASED WATER REPELLENTS,,,clay,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 12049: 1987,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,board,plywood,plywood,,timber,,high,high,False,,
IS 12118 (Part 1): 1987,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,sealant,TWO-PARTS POLYSULPHIDE BASED SEALANTS PART 1 GENERAL REQUIREMENTS the original profile in a horizontal position. 4.2 Plastic Deformation— The sealant shall have a,,,clay,,high,high,False,,
IS 12234: 1988,SEARCH_ONLY,non-product standard kept searchable but not used as procurement positive,test_method,,PLASTIC EQUILIBRIUM FLOAT VALVES FOR COLD WATER SERVICES Note — For method of test refer to Appendices A to C of the standard,,,steel,,high,high,False,,
IS 12269: 1987,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,cement,ordinary portland 53 grade,ordinary_portland_53_grade,,concrete,,high,high,False,,
IS 1230: 1979,REVIEW_REQUIRED,low_confidence_metadata,product_standard,pipe_fitting,CAST IRON RAINWATER PIPES AND FITTINGS,,,cast iron,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 12313: 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,steel_sheet,HOT–DIP TERNE COATED CARBON STEEL SHEETS TABLE 1 CHEMICAL COMPOSITION (LADLE ANALYSIS) Quality C,,roofing,steel,roofing,high,high,False,,
IS 12330: 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,cement,SULPHATE RESISTING PORTLAND CEMENT,,,concrete,,high,high,False,,
IS 1237: 1980,REVIEW_REQUIRED,low_confidence_metadata,material_standard,cement,CEMENT CONCRETE FLOORING TILES,,flooring,concrete,flooring,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 1239 (Part 1): 2004,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,pipe,"STEEL TUBES, TUBULARS ANDOTHER WROUGHT STEEL FITTINGS PART 1 STEEL TUBES",,,steel,,high,high,False,,
IS 12406: 2003,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,board,MEDIUM DENSITY FIBRE BOARDS FOR GENERAL PURPOSES 1. Scope — Requirements of medium density fibre boards for general purposes having density in the range,,,timber,,high,high,False,,
IS 12427: 2001,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,bolt,FASTENERS – THREADED STEEL FASTENERS – HEXAGON HEAD TRANSMISSION TOWER BOLTS,,,steel,,high,high,False,,
IS 12436: 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,thermal_insulation,"PREFORMED RIGID POLYURETHANE (PUR) AND POLYISOCYANURATE (PIR) FOAMS FOR THERMAL INSULATION 1. Scope – Requirements, and the methods of sampling and test for preformed rigid polyurethane (PUR) and",,thermal_insulation,,thermal insulation,high,high,False,,
IS 12440: 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,block,"PRECAST CONCRETE STONE MASONRY BLOCKS 3.2 For 200, 150 and 100 mm nominal thick walls, the blocks shall be of 300 × 200 × 150 mm, 300 × 150 × 150 mm and 300 × 100 × 150 mm nominal size respectively. 3.3 For accommodating vertical reinforcem",,,concrete,,high,high,False,,
IS 1254: 1991,REVIEW_REQUIRED,low_confidence_metadata,material_standard,roofing_sheet,CORRUGATED ALUMINIUM SHEET,,,aluminium,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 12583: 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,roofing_sheet,CORRUGATED BITMEN ROOFING SHEETS ± ± ± ±,,roofing,bitumen,roofing,high,high,False,,
IS 12592: 2002,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,cement,PRECAST CONCRETE MANHOLE COVER AND FRAME,,carry_sewage,steel,sewerage,high,high,False,,
IS 12701: 1996,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,water_tank,ROTATIONAL MOULDED POLYETHYLENE WATER STORAGE TANKS,,,,door and window construction,high,high,False,,
IS 12709: 1994,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,glass,"— which are 200, 250, 300, 350, 400, 450, 500, 600, 700, 800, 900, 1 000, 1 100, 1 200, 1 400, 1 600, 1 800, 2 000, 2 200, 2 400, 2 600, 2 800 and 3 000 mm",,carry_potable_water,glass fibre reinforced plastic,potable water supply,high,high,False,,
IS 12778: 2004,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,steel_section,"HOT ROLLED PARALLEL FLANGE STEEL SECTION FOR BEAMS, COLUMNS AND BEARING PILES DIMENSIONS AND SECTION PROPERTIES",,,cast iron,,high,high,False,,
IS 1278: 1972,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,rod,FILLER RODS FOR GAS WELDING,,,cast iron,,high,high,False,,
IS 12817: 1997,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,hinge,STAINLESS STEEL BUTT HINGES,,,steel,,high,high,False,,
IS 12818: 1992,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,pipe,UNPLASTICISED PVC SCREEN AND CASING PIPES FOR BORE/TUBE WELL,,,PVC,potable water supply,high,high,False,,
IS 12820: 2004,REVIEW_REQUIRED,low_confidence_metadata,product_standard,pipe,"DIMENSIONAL REQUIREMENTS OF RUBBER GASKETS FOR MECHANICAL JOINTS AND PUSH-ON JOINTS FOR USE WITH CAST IRON PIPES AND FITTINGS FOR CARRYING WATER, GAS AND SEWAGE",,carry_sewage,cast iron,sewerage,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 12823: 1990,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,other,board,WOOD PRODUCTS-PRELAMINATED PARTICLES BOARDS 3.3 Impregnated Overlay—An absorbent tissue paper having a weight of 18-40 g/m2 impregnated in a suitable synthetic resin and dried to a volatile content of 4-8,,,timber,,high,high,False,,
IS 12830: 1989,SEARCH_ONLY,non-product standard kept searchable but not used as procurement positive,installation,,RUBBER BASED ADHESIVE FOR FIXING PVC TILES TO CEMENT 1. Scope – Requirements and the methods of sampling and test for rubber based adhesives used for bonding,,,PVC,,high,high,False,,
IS 1285: 2002,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,pipe,WROUGHT ALUMINIUM AND ALUMINIUM ALLOY EXTRUDED ROUND TUBE AND HOLLOW SECTIONS FOR GENERAL ENGINEERING PURPOSES,,,aluminium,roofing,high,high,False,,
IS 12866: 1989,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,other,glass,PLASTIC TRANSLUCENT SHEET MADE FROM THERMOSETTING POLYESTER RESIN,,,steel,,high,high,False,,
IS 12867: 1989,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,handrail,PVC HAND RAIL COVERS,,,PVC,,high,high,False,,
IS 12894: 2002,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,brick,PULVERIZED FUEL ASH-LIME BRICKS,,,clay,roofing,high,high,False,,
IS 12896: 1990,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,door,INDIAN TIMBERS FOR DOOR AND WINDOW SHUTTERS AND FRAMES – CLASSIFICATION,,,timber,door and window construction,high,high,False,,
IS 1293: 1988,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,plug_socket,PLUGS AND SOCKET-OUTLETS – RATED VOLTAGE UPTO AND INCLUDING 250 VOLTS AND RATED CURRENT UPTO AND INCLUDING 16 AMPERES,,,steel,thermal insulation,high,high,False,,
IS 12987: 1991,REVIEW_REQUIRED,low_confidence_metadata,material_standard,pipe,CAST IRON DETACHABLE JOINTS FOR USE WITH ASBESTOS CEMENT PRESSURE PIPES (LIGHT DUTY) Note — Nominal diameter of detachable joint shall refer to the corresponding nominal diameter of the asbestos cement pressure pipes,,,cast iron,potable water supply,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 12988: 1991,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,pipe,DIMENSIONAL REQUIREMENTS FOR RUBBER SEALING RINGS FOR CID JOINTS FOR LIGHT DUTY AC PIPES – DIMENSIONAL REQUIREMENTS,,,cast iron,,high,high,False,,
IS 12994: 1990,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,adhesive,"EPOXY ADHESIVES, ROOM TEMPERATURE CURING, GENERAL PURPOSE",,,,,high,high,False,,
IS 13000: 1990,SEARCH_ONLY,non-product standard kept searchable but not used as procurement positive,test_method,,"SILICA ASBESTOS - CEMENT FLAT SHEETS Note— For methods of tests, refer to IS 5913:1989 Methods of test for asbestos cement products (first revision)",,,,,high,high,False,,
IS 13008: 1990,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,cement,SHALLOW CORRUGATED ASBESTOS CEMENT SHEETS 3.2 Impermeability — Shall not show during 24 hours of test any formation of drops of water except traces of moisture on the lower surface,,,,,high,high,False,,
IS 13026: 1991,REVIEW_REQUIRED,low_confidence_metadata,material_standard,aggregate,BITUMEN MASTIC FOR FLOORING FOR INDUSTRIES HANDLING LPG AND OTHER LIGHT HYDROCARBON PRODUCTS,,flooring,bitumen,flooring,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 13049: 1991,SEARCH_ONLY,non-product standard kept searchable but not used as procurement positive,test_method,,DIAPHRAGM TYPE (PLASTIC BODY) FLOAT OPERATED VALVES FOR COLD WATER SERVICES Note— For method of test refer to Appendices Aot C of the standard,,,rubber,,high,high,False,,
IS 13114: 1991,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,valve,check valve,check_valve,prevent_reverse_flow,cast iron,water supply,high,high,False,,
IS 13204: 1991,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,thermal_insulation,RIGID PHENOLIC FOAM FOR THERMAL INSULATION 1. Scope – Requirements and methods of sampling and test for rigid for phenolic foam for thermal,,thermal_insulation,HDPE,thermal insulation,high,high,False,,
IS 1322: 1993,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,waterproofing_membrane,BITUMEN FELTS FOR WATER–PROOFING AND DAMP–PROOFING,,waterproofing,bitumen,waterproofing,high,high,False,,
IS 1326: 1992,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,timber,NON-CONIFEROUS SAWN TIMBER,,,timber,,high,high,False,,
IS 1328: 1996,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,board,plywood,plywood,,timber,,high,high,False,,
IS 13317: 1992,REVIEW_REQUIRED,missing_scope_no_reliable_reconstruction,other,tile,"CLAY ROOFING COUNTRY TILES, HALF ROUND AND FLAT TILES",,roofing,clay,roofing,high,high,True,missing_scope_no_reliable_reconstruction,metadata_review_required;missing_scope
IS 13349: 1992,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,gate,SINGLE FACED CAST IRON THIMBLE MOUNTED SLUICE GATES 5. Materials – see Table 3 TABLE 3 MATERIALS,,,cast iron,potable water supply,high,high,False,,
IS 13356: 1992,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,water_tank,PRECAST FERROCEMENT WATER TANKS UP TO 10 000 LITRES CAPACITY,,,steel,,high,high,False,,
IS 13382: 2004,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,pipe,"CAST IRON SPECIALS FOR MECHANICAL AND PUSH ON FLEXIBLE JOINTS FOR PRESSURE PIPE LINES FOR WATER, GAS AND SEWAGE",,carry_sewage,cast iron,sewerage,high,high,False,,
IS 1341: 1992,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,hinge,STEEL BUTT HINGES,,,steel,,high,high,False,,
IS 13592: 1992,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,pipe,UNPLASTILIZED POLYVINYL CHLORIDE (UPVC) PIPES FOR SOIL AND WASTE DISCHARGE SYSTEM FOR INSIDE AND OUTSIDE BUILDINGS INCLUDING VENTILATION AND RAIN WATER SYSTEM TABLE 1 DIAMETER AND WALL THICKNESS,,,PVC,potable water supply,high,high,False,,
IS 1361: 1978,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,window,STEEL WINDOWS FOR INDUSTRIAL BUILDINGS,,,steel,door and window construction,high,high,False,,
IS 13620: 1993,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,material_standard,coating,FUSION BONDED EPOXY COATED REINFORCING BARS,,,steel,,high,high,False,,
IS 1363 (Part 1): 2002,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,bolt,"ISO 4016 : 1999 HEXAGON HEAD BOLTS, SCREWS AND NUTS OF PRODUCT GRADE C PART 1 : HEXAGON HEAD BOLTS (SIZE RANGE M5 TO M64)",,,steel,,high,high,False,,
IS 1363 (Part 2): 2002,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,screw,"ISO 4018 : 1999 HEXAGON HEAD BOLTS, SCREWS & NUTS OF PRODUCT GRADE C PART 2 : HEXAGON HEAD SCREWS (SIZE RANGE M5 TO M64)",,,steel,,high,high,False,,
IS 1363 (Part 3): 2002,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,nut,"ISO 4034 : 1999 HEXAGON HEAD BOLTS, SCREWS & NUTS OF PRODUCT GRADE C PART 3 : HEXAGON NUTS (SIZE RANGE M5 TO M64)",,,steel,,high,high,False,,
IS 1364 (Part 1): 2002,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,bolt,"ISO 4014 : 1999 HEXAGON HEAD BOLTS, SCREWS AND NUTS OF PRODUCT GRADES A AND B PART 1 : HEXAGON HEAD BOLTS (SIZE RANGE M1.6 TO M64)",,,steel,,high,high,False,,
IS 1364 (Part 2): 2002,REVIEW_REQUIRED,low_confidence_metadata,product_standard,screw,"ISO 4017 : 1999 HEXAGON HEAD BOLTS, SCREWS & NUTS OF PRODUCT GRADE A & B PART 2 : HEXAGON HEAD SCREWS (SIZE RANGE 1.6 TO M64)",,,steel,,high,low,True,low_confidence_metadata,low_product_confidence;metadata_review_required
IS 1364 (Part 3): 2002,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,nut,"ISO 4032 : 1999 HEXAGON HEAD BOLTS, SCREWS AND NUTS OF PRODUCT GRADES A & B PART 3 : HEXAGON NUTS (SIZE RANGE M1.6 TO M64)",,,steel,,high,high,False,,
IS 1364 (Part 4): 2003,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,nut,"ISO 4035 : 1999 HEXAGON HEAD BOLTS,SCREWS&NUTS OFPRODUCTGRADEA &B PART 4 HEXAGON THIN NUTS (CHAMFERED)",,,steel,,high,high,False,,
IS 1364 (Part 5): 2002,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,nut,"ISO 4036 : 1999 HEXAGON HEAD BOLTS, SCREWS AND NUTS OF PRODUCT GRADES A AND B PART 5 HEXAGON THIN NUTS",,,steel,,high,high,False,,
IS 1365: 1978,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,screw,SLOTTED COUNTERSUNK HEAD SCREWS,,,aluminium,,high,high,False,,
IS 1366: 2002,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,screw,ISO 1207 - 1992 SLOTTED CHEESE HEAD SCREWS,,,steel,,high,high,False,,
IS 13753: 1993,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,tile,DUST– PRESSED CERAMIC TILES WITH WATER ABSORPTION OF E>10% GROUP B III,,,,flooring,high,high,False,,
IS 13754: 1993,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,tile,DUST – PRESSED CERAMIC TILES WITH WATER ABSORPTION OF 6% < E ≤ 10%,,,,,high,high,False,,
IS 13755: 1993,SAFE_FOR_TRAINING,grounded product/subject metadata supports supervised positive,product_standard,tile,DUST– PRESSED CERAMIC TILES WITH WATER ABSORPTION OF 3% < E ≤ 6%,,,,,high,high,False,,
